// timecycle generated by derpy's script loader



////////////////////////////////////// Sunny
// Amb_Props	Amb_World	Amb_Peds	Sun RGB	BackRGB	BackInt	Sky top	Sky bot	Sun RGBCore	Sun RGBCorona	Sun RGBSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	NightFactor	LowCloudsRGB	TopCloudRGB	BottomCloudRGB	BlurRGB	WaterRGBA	GlowThresh	GlowStrength	CloudSpeed	CloudTopRGB	CloudBotRGB	ColFilterMode	ColFilterRGBA	AmbLRange	AmbHRange	SunLRange	SunHRange	BackLRange	BackHRange	AmbLRange	AmbHRange	SunLRange	SunHRange	BackLRange	BackHRange	NearFarRatio

// Midnight
73 75 86	104 104 128	101 109 116	46 46 44	61 65 62	0.000	10 10 10	32 44 49	3 0 0	5 0 0	0.000	1.000	1.000	50	0.500	0.500	400	-100	0.500	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	5 5 5	4 5 6	2	248 253 252 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 1AM
73 75 86	129 129 152	101 109 116	46 46 44	61 65 62	0.000	10 10 10	32 44 49	3 0 0	5 0 0	0.000	1.000	1.000	50	0.500	0.500	400	-100	0.500	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	5 5 5	4 5 6	2	255 255 255 255	0.500	0.600	0.500	1.000	0.500	1.000	2500

// 2AM
73 75 86	129 129 152	101 109 116	46 46 44	61 65 62	0.000	10 10 10	32 44 49	3 0 0	5 0 0	0.000	1.000	1.000	50	0.500	0.500	400	-100	0.500	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	6 7 9	4 5 6	2	248 253 252 255	0.500	0.500	0.500	1.000	0.500	1.000	2500

// 3AM
73 75 86	129 129 152	101 109 116	46 46 44	61 65 62	0.000	10 10 10	32 44 49	3 0 0	5 0 0	0.000	1.000	1.000	50	0.500	0.500	400	-100	0.500	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	6 7 9	11 13 15	2	248 253 252 255	0.500	0.500	0.500	1.000	0.500	1.000	2500

// 4AM
73 75 86	129 129 152	101 109 116	46 46 44	70 74 71	0.000	10 10 10	32 44 49	3 0 0	5 0 0	0.000	1.000	1.000	50	0.500	0.500	400	-100	0.500	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	26 31 34	22 34 41	2	248 253 252 255	0.500	0.500	0.500	1.000	0.500	1.000	2500

// 5AM
73 75 86	129 129 152	101 109 116	46 46 44	70 74 71	0.000	27 29 35	50 69 78	3 0 0	5 0 0	0.000	1.000	1.000	50	0.500	0.500	400	-100	0.500	0.600 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	42 42 42	56 44 55	2	248 253 252 200	0.500	0.500	0.500	1.000	0.500	1.000	2500

// 6AM
73 75 86	129 129 152	101 109 116	51 51 49	145 143 124	0.000	40 48 60	55 55 44	3 0 0	5 0 0	0.000	1.000	1.000	50	0.500	0.500	400	-80	0.500	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	85 85 85	88 86 71	2	248 253 252 100	0.500	0.500	0.500	1.000	0.500	1.000	2500

// 7AM
94 93 76	213 193 168	83 88 94	136 102 68	160 123 107	0.000	94 92 114	163 129 122	202 66 0	53 35 0	4.000	1.000	1.000	100	0.500	0.500	400	-50	1.000	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	130 130 130	175 165 134	2	241 237 205 100	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 8AM
99 98 78	220 203 175	83 88 94	150 150 101	186 182 154	0.000	74 113 136	99 105 126	160 143 24	68 67 21	3.000	1.000	1.000	116	0.500	0.500	400	-10	1.000	0.400 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	180 182 207	155 165 191	2	248 253 252 75	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 9AM
103 102 81	227 214 183	73 85 103	159 160 129	186 182 154	0.000	109 116 160	166 169 172	165 156 56	81 80 26	3.000	1.000	1.000	-124	0.500	0.500	400	-10	1.000	0.500 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	187 189 215	164 182 200	2	248 253 252 100	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 10AM
