// timecycle generated by derpy's script loader



////////////////////////////////////// EXTRACOLOURS 1
// Amb_Props	Amb_World	Amb_Peds	Sun RGB	BackRGB	BackInt	Sky top	Sky bot	Sun RGBCore	Sun RGBCorona	Sun RGBSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	NightFactor	LowCloudsRGB	TopCloudRGB	BottomCloudRGB	BlurRGB	WaterRGBA	GlowThresh	GlowStrength	CloudSpeed	CloudTopRGB	CloudBotRGB	ColFilterMode	ColFilterRGBA	AmbLRange	AmbHRange	SunLRange	SunHRange	BackLRange	BackHRange	AmbLRange	AmbHRange	SunLRange	SunHRange	BackLRange	BackHRange	NearFarRatio

// School Hallways
30 30 30	220 220 220	70 70 70	96 96 96	52 54 56	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	150	-15	0.650	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	221 218 200 128	0.250	1.000	0.500	1.000	0.500	1.000	400

// (???)Cafeteria
72 72 72	240 240 240	90 90 90	60 60 60	88 88 88	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.200	110	0.500	0.500	125	-8	0.650	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	1	255 241 228 190	0.500	1.000	0.500	1.000	0.500	1.000	400

// Chemistry
72 72 72	250 250 250	50 50 50	60 60 60	54 54 54	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	220 255 255 128	0.500	1.000	0.500	1.000	0.500	1.000	500

// Principals Office
60 60 60	230 230 230	70 70 70	92 92 92	74 67 62	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.500	110	0.500	0.500	125	-8	0.800	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	213 198 189 128	0.600	0.750	0.500	1.000	0.500	1.000	500

// Biology
72 72 72	255 255 255	80 80 80	78 86 79	73 73 73	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	255 238 222 100	0.500	1.000	0.500	1.000	0.500	1.000	500

// (???)Infirmary
85 85 85	255 255 255	90 90 90	70 77 73	79 87 85	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	120	0.500	0.500	350	-50	0.600	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	1	209 255 245 200	0.500	1.000	0.500	1.000	0.500	1.000	2500

// Janitors Room
21 21 21	200 200 200	60 60 60	88 88 88	72 72 72	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.500	110	0.500	0.500	175	-30	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	134 227 216 128	0.500	1.000	0.500	1.000	0.500	1.000	500

// Library
100 100 100	215 215 215	115 115 115	72 72 72	43 46 49	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	120	0.500	0.500	125	-8	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	225 255 221 128	0.650	0.500	0.500	0.750	0.500	0.750	1000

// (???)Boys Bathroom
72 72 72	192 192 192	64 64 64	42 42 42	28 32 34	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	255 255 255 128	0.500	1.000	0.500	1.000	0.500	1.000	2500

// (???)Girls Bathroom
72 72 72	192 192 192	60 60 60	41 41 41	29 33 35	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	0	255 255 255 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// (???)Wrestling Gym
72 72 72	192 192 192	90 90 90	62 62 62	66 74 79	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	0	255 255 255 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// Pool and Gym
37 45 37	192 192 192	77 77 77	77 77 77	69 69 69	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	0.750	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	255 255 255 128	0.250	0.850	0.500	1.000	0.500	1.000	400

// Boys Dorm
25 25 25	192 192 192	60 60 60	91 91 91	59 59 59	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	1.500	110	0.500	0.500	350	-50	0.650	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	255 255 255 128	0.250	0.850	0.750	1.000	1.000	1.000	500

// Classroom
72 72 72	225 225 225	55 55 55	87 87 87	69 69 69	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	0.750	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	255 255 255 128	0.500	1.000	0.500	1.000	0.500	1.000	400

// Trailer
72 72 72	255 255 255	150 150 150	60 60 60	88 88 88	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	1.000	110	0.500	0.500	350	-50	1.000	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	202 235 180 128	0.500	1.000	0.500	1.000	0.500	1.000	2500

// Art Room
72 72 72	255 255 255	75 75 75	70 70 70	32 32 32	0.250	123 114 113	95 103 112	5 0 0	5 0 0	1.000	1.000	0.300	110	0.500	0.500	350	-50	0.650	1.000 1.000 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	0.000	0 0 0	0 0 0	2	201 201 201 128	0.500	1.000	0.500	1.000	0.500	1.000	2500

// Auto Shop
