// timecycle generated by derpy's script loader



////////////////////////////////////// Sunny
// Amb_Props	Amb_World	Amb_Peds	Sun RGB	BackRGB	BackInt	Sky top	Sky bot	Sun RGBCore	Sun RGBCorona	Sun RGBSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	NightFactor	LowCloudsRGB	TopCloudRGB	BottomCloudRGB	BlurRGB	WaterRGBA	GlowThresh	GlowStrength	CloudSpeed	CloudTopRGB	CloudBotRGB	ColFilterMode	ColFilterRGBA	AmbLRange	AmbHRange	SunLRange	SunHRange	BackLRange	BackHRange	AmbLRange	AmbHRange	SunLRange	SunHRange	BackLRange	BackHRange	NearFarRatio

// Midnight
73 75 86	148 155 180	101 109 116	46 46 44	61 65 62	0.000	19 21 26	19 20 26	5 0 0	5 0 0	0.000	1.000	1.500	50	0.550	0.500	400	-100	0.500	0.800 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	5 5 5	4 5 6	2	204 208 227 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 1AM
73 75 86	148 155 180	101 109 116	46 46 44	61 65 62	0.000	19 21 26	19 20 26	5 0 0	5 0 0	0.000	1.000	1.500	50	0.550	0.500	400	-100	0.500	0.800 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	5 5 5	4 5 6	2	204 208 227 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 2AM
73 75 86	148 155 180	101 109 116	46 46 44	61 65 62	0.000	19 21 26	19 20 26	5 0 0	5 0 0	0.000	1.000	1.500	50	0.550	0.500	400	-100	0.500	0.800 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	6 7 9	4 5 6	2	204 208 227 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 3AM
73 75 86	148 155 180	101 109 116	46 46 44	61 65 62	0.000	19 21 26	19 20 26	5 0 0	5 0 0	0.000	1.000	1.500	50	0.550	0.500	400	-100	0.500	0.800 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	6 7 9	11 13 15	2	204 208 227 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 4AM
73 75 86	148 155 180	101 109 116	46 46 44	70 74 71	0.000	19 21 26	19 20 26	5 0 0	5 0 0	0.000	1.000	1.500	50	0.550	0.500	400	-100	0.500	0.800 0.200 0.000	0 0 0	0 0 0	0 0 0	0 0 0 0	0	0	-0.100	26 31 34	22 34 41	2	204 208 227 255	0.500	1.000	0.500	1.000	0.500	1.000	2500

// 5AM
